t,feat_mean_5m,feat_min_5m,feat_std_5m,feat_slope_5m,label_next_30min
3177.0,99.39,99.0,0.4885648904431293,-0.0033333333333333335,0
3178.0,99.38666666666667,99.0,0.4877998748959578,-0.0033333333333333335,0
3179.0,99.38333333333334,99.0,0.487010767005496,-0.0033333333333333335,0
3180.0,99.38,99.0,0.48619744946473675,-0.0033333333333333335,0
3181.0,99.37666666666667,99.0,0.4853598005693439,-0.0033333333333333335,0
3182.0,99.37333333333333,99.0,0.48449769411977145,-0.0033333333333333335,0
3183.0,99.37,99.0,0.4836109993186698,-0.0033333333333333335,0
3184.0,99.36666666666666,99.0,0.4826995806633703,-0.0033333333333333335,0
3185.0,99.36333333333333,99.0,0.4817632978332294,-0.0033333333333333335,0
3186.0,99.36,99.0,0.48080200557159564,-0.0033333333333333335,0
3187.0,99.35666666666667,99.0,0.4798155535621504,-0.0033333333333333335,0
3188.0,99.35333333333334,99.0,0.47880378629935805,-0.0033333333333333335,0
3189.0,99.35,99.0,0.47776654295274174,-0.0033333333333333335,0
3190.0,99.34666666666666,99.0,0.47670365722468616,-0.0033333333333333335,0
3191.0,99.34333333333333,99.0,0.4756149572014451,-0.0033333333333333335,0
3192.0,99.34,99.0,0.47450026519701566,-0.0033333333333333335,0
3193.0,99.33666666666667,99.0,0.47335939758951456,-0.0033333333333333335,0
3194.0,99.33333333333333,99.0,0.47219216464967145,-0.0033333333333333335,0
3195.0,99.33,99.0,0.47099837036102477,-0.0033333333333333335,0
3196.0,99.32666666666667,99.0,0.4697778122313824,-0.0033333333333333335,0
3197.0,99.32333333333334,99.0,0.4685302810950763,-0.0033333333333333335,0
3198.0,99.32,99.0,0.46725556090550996,-0.0033333333333333335,0
3199.0,99.31666666666666,99.0,0.4659534285174632,-0.0033333333333333335,0
3200.0,99.31333333333333,99.0,0.4646236534585803,-0.0033333333333333335,0
3201.0,99.31,99.0,0.46326599768943055,-0.0033333333333333335,0
3202.0,99.30666666666667,99.0,0.4618802153514831,-0.0033333333333333335,0
3203.0,99.30333333333333,99.0,0.46046605250229433,-0.0033333333333333335,0
3204.0,99.3,99.0,0.45902324683715456,-0.0033333333333333335,0
3205.0,99.29666666666667,99.0,0.45755152739638544,-0.0033333333333333335,0
3206.0,99.29333333333334,99.0,0.45605061425742155,-0.0033333333333333335,0
3207.0,99.29,99.0,0.4545202182107437,-0.0033333333333333335,0
3208.0,99.28666666666666,99.0,0.45296004041866317,-0.0033333333333333335,0
3209.0,99.28333333333333,99.0,0.45136977205587897,-0.0033333333333333335,0
3210.0,99.28,99.0,0.4497490939306489,-0.0033333333333333335,0
3211.0,99.27666666666667,99.0,0.4480976760853234,-0.0033333333333333335,0
3212.0,99.27333333333333,99.0,0.4464151773748956,-0.0033333333333333335,0
3213.0,99.27,99.0,0.4447012450221114,-0.0033333333333333335,0
3214.0,99.26666666666667,99.0,0.44295551414756845,-0.0033333333333333335,0
3215.0,99.26333333333334,99.0,0.4411776072731047,-0.0033333333333333335,0
3216.0,99.26,99.0,0.43936713379663617,-0.0033333333333333335,0
3217.0,99.25666666666666,99.0,0.437523689436452,-0.0033333333333333335,0
3218.0,99.25333333333333,99.0,0.43564685564280503,-0.0033333333333333335,0
3219.0,99.25,99.0,0.433736198974452,-0.0033333333333333335,0
3220.0,99.24666666666667,99.0,0.4317912704375949,-0.0033333333333333335,0
3221.0,99.24333333333334,99.0,0.4298116047844489,-0.0033333333333333335,0
3222.0,99.24,99.0,0.42779671976841843,-0.0033333333333333335,0
3223.0,99.23333333333333,98.0,0.4314813352830976,-0.006666666666666667,0
3224.0,99.22666666666667,98.0,0.43503225831495335,-0.006666666666666667,0
